Name	Set	Imagefile	Type	Level	Logo	Rarity	Text
Waterdeep	3RD	001	Realm		FR	Realm	Any champion can use wizard spells when defending Waterdeep. Coast. 
Menzoberranzan	3RD	002	Realm		FR	Realm	Can be played at any time. Immune to flyers. Underdark. 
Zhentil Keep	3RD	003	Realm	5	FR	Rare	Can defend itself as a level 5 monster, and can only be attacked by clerics. Coast. 
Shadowdale	3RD	004	Realm		FR	Realm	Any champion can cast cleric and wizard spells when defending Shadowdale. 
Cormyr	3RD	005	Realm		FR	Realm	Can cast any wizard spell. Coast. 
Sembia	3RD	006	Realm		FR	Realm	Attacking players must discard a card from their hand or pool for each champion sent forward. Coast. 
Moonshae Isles	3RD	007	Realm	2	FR	Realm	The Moonshaes can defend themselves as a level 2 hero. All defending allies gain 3 levels. Coast. 
Thay	3RD	008	Realm		FR	Realm	Any champion can use wizard spells when defending Thay. 
Calimshan	3RD	009	Realm		FR	Realm	Defending champions gain +1 for each magical item they own. Coast. 
Pirate Isles	3RD	010	Realm		FR	Realm	Flyers cannot attack this realm. Coast. 
Ravens Bluff	3RD	011	Realm		FR	Realm	Any champion can use wizard spells when defending Ravens Bluff. Coast. 
The Great Rift	3RD	012	Realm		FR	Realm	Flyers cannot attack this realm. 
Myth Drannor	3RD	013	Realm		FR	Uncommon	Any champion can use wizard spells when defending Myth Drannor. Increases player's maximum hand by one. 
Vaasa	3RD	014	Realm		FR	Realm	Vaasa is populated by fierce roving bands of monsters and barbarians. Heroes of base level 3 or less cannot attack it. Coast. 
Jungles of Chult	3RD	015	Realm	5	FR	Realm	Chult can defend itself as a level 5 monster. Coast. 
The High Forest	3RD	016	Realm		FR	Realm	Defenders of the High Forest are immune to offensive magical items. 
Sword Coast	3RD	017	Realm		FR	Realm	The defending player can return one ally to his hand after each round of battle. Coast. 
Anauroch	3RD	018	Realm		FR	Realm	All attackers lose one level. 
Impiltur	3RD	019	Realm		FR	Realm	All champions and allies who defend Impiltur gain 1 level. Coast. 
Icewind Dale	3RD	020	Realm		FR	Realm	The attacking champion must discard one magical item chosen by the defender. Coast. 
The High Moor	3RD	021	Realm		FR	Realm	Any defending monster gains 4 levels. Coast. 
